Id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,type
1370,6.6,0.19,0.35,1.5,0.037,37,107,0.99006,3.18,0.68,12,0
1371,5.7,0.135,0.3,4.6,0.042,19,101,0.9946,3.31,0.42,9.3,0
1372,5.7,0.21,0.37,4.5,0.04,58,140,0.99332,3.29,0.62,10.6,0
1373,6.1,0.36,0.26,8.15,0.035,14,88,0.99031,3.06,0.27,13,0
1374,7.5,0.19,0.34,2.6,0.037,33,125,0.9923,3.1,0.49,11.1,0
1375,6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5,0
1376,6.5,0.17,0.54,8.5,0.082,64,163,0.9959,2.89,0.39,8.8,0
1377,6.4,0.15,0.4,1.3,0.053,61,146,0.99112,3.17,0.68,11,0
1378,8.3,0.14,0.26,1.5,0.049,56,189,0.9946,3.21,0.62,9.5,0
1379,6.8,0.28,0.6,1.1,0.132,42,127,0.9934,3.09,0.44,9.1,0
1380,7.5,0.25,0.47,4.1,0.041,95,163,0.99184,2.92,0.59,11.3,0
1381,6.6,0.25,0.41,7.4,0.043,29,151,0.9946,3.15,0.6,10.2,0
1382,5.6,0.2,0.36,2.5,0.048,16,125,0.99282,3.49,0.49,10,0
1383,6.9,0.21,0.81,1.1,0.137,52,123,0.9932,3.03,0.39,9.2,0
1384,6.7,0.2,0.42,14,0.038,83,160,0.9987,3.16,0.5,9.4,0
1385,10.7,0.22,0.56,8.2,0.044,37,181,0.998,2.87,0.68,9.5,0
1386,5.8,0.6,0,1.3,0.044,72,197,0.99202,3.56,0.43,10.9,0
1387,6.8,0.23,0.48,1.5,0.036,35,165,0.99162,3.18,0.45,11.3,0
1388,7.4,0.38,0.34,8.3,0.052,44,168,0.99627,3.11,0.52,9.2,0
1389,8.5,0.17,0.49,8.8,0.048,23,108,0.9947,2.88,0.34,10.5,0
1390,6.4,0.25,0.57,1,0.062,21,122,0.99238,3,0.4,9.5,0
1391,6.2,0.3,0.2,6.6,0.045,42,170,0.9944,3.36,0.45,10.4,0
1392,5.1,0.31,0.3,0.9,0.037,28,152,0.992,3.54,0.56,10.1,0
1393,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,0
1394,6.2,0.3,0.31,1.6,0.035,40,106,0.98914,3.26,0.39,12.9,0
1395,7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,0
1396,7.4,0.16,0.3,1.4,0.064,34,166,0.99136,3.11,0.42,11.43333333,0
1397,8.1,0.26,0.3,7.8,0.049,39,152,0.9954,2.99,0.58,10,0
1398,5.8,0.26,0.3,2.6,0.034,75,129,0.9902,3.2,0.38,11.5,0
1399,7.9,0.29,0.31,7.35,0.034,37,154,0.9938,3.06,0.31,10.8,0
1400,7.5,0.33,0.39,12.4,0.065,29,119,0.9974,3.16,0.39,9.4,0
1401,7.3,0.19,0.24,6.3,0.054,34,231,0.9964,3.36,0.54,10,0
1402,6.1,0.22,0.49,1.5,0.051,18,87,0.9928,3.3,0.46,9.6,0
1403,6.5,0.18,0.26,1.4,0.041,40,141,0.9941,3.34,0.72,9.5,0
1404,6.6,0.27,0.33,1.4,0.042,24,183,0.99215,3.29,0.46,10.7,0
1405,7.5,0.26,0.3,4.6,0.027,29,92,0.99085,3.15,0.38,12,0
1406,7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,0
1407,6.1,0.17,0.21,1.9,0.09,44,130,0.99255,3.07,0.41,9.7,0
1408,6.5,0.32,0.23,8.5,0.051,20,138,0.9943,3.03,0.42,10.7,0
1409,7.8,0.27,0.33,2.4,0.053,36,175,0.992,3.2,0.55,11,0
1410,7.7,0.27,0.61,12,0.046,64,179,0.9982,3.07,0.46,8.9,0
1411,7.8,0.21,0.49,1.35,0.052,6,48,0.9911,3.15,0.28,11.4,0
1412,6.5,0.34,0.28,1.8,0.041,43,188,0.9928,3.13,0.37,9.6,0
1413,6.6,0.27,0.41,1.3,0.052,16,142,0.9951,3.42,0.47,10,0
1414,7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,0
1415,6.8,0.26,0.44,8.2,0.046,52,183,0.99584,3.2,0.51,9.4,0
1416,7.8,0.26,0.74,7.5,0.044,59,160,0.996,3.22,0.64,10,0
1417,7.4,0.2,0.43,7.8,0.045,27,153,0.9964,3.19,0.55,9,0
1418,5.8,0.32,0.23,1.5,0.033,39,121,0.9887,2.96,0.35,12,0
1419,5.6,0.22,0.32,1.2,0.024,29,97,0.98823,3.2,0.46,13.05,0
1420,7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,0
1421,8.3,0.17,0.31,1.5,0.049,48,153,0.9942,3.12,0.58,9.4,0
1422,6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,0
1423,7.8,0.22,0.38,10.3,0.059,28,99,0.9967,3.12,0.47,10,0
1424,9.1,0.27,0.32,1.1,0.031,15,151,0.9936,3.03,0.41,10.6,0
1425,6.3,0.2,0.37,11.8,0.045,58,130,0.99519,3.2,0.35,10.8,0
1426,6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4,0
1427,8.2,0.17,0.32,1.5,0.05,17,101,0.994,3.14,0.58,9.5,0
1428,6.8,0.18,0.37,1.5,0.027,37,93,0.992,3.3,0.45,10.8,0
1429,5.7,0.24,0.47,6.3,0.069,35,182,0.99391,3.11,0.46,9.733333333,0
1430,7.2,0.21,0.34,1.1,0.046,25,80,0.992,3.25,0.4,11.3,0
1431,6.6,0.32,0.22,16.7,0.046,38,133,0.9979,3.22,0.67,10.4,0
1432,6.5,0.22,0.19,4.5,0.096,16,115,0.9937,3.02,0.44,9.6,0
1433,6.3,0.41,0.3,3.2,0.03,49,164,0.9927,3.53,0.79,11.7,0
1434,6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,0
1435,8.6,0.18,0.36,1.8,0.04,24,187,0.9956,3.25,0.55,9.5,0
1436,6.5,0.21,0.4,7.3,0.041,49,115,0.99268,3.21,0.43,11,0
1437,8.2,0.29,0.33,9.1,0.036,28,118,0.9953,2.96,0.4,10.9,0
1438,5.4,0.29,0.38,1.2,0.029,31,132,0.98895,3.28,0.36,12.4,0
1439,7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,0
1440,6.6,0.21,0.49,18.15,0.042,41,158,0.9997,3.28,0.39,8.7,0
1441,7.2,0.35,0.34,12.4,0.051,6,37,0.9944,3.13,0.39,11.5,0
1442,6.2,0.3,0.28,1.6,0.036,28,106,0.988245,3.14,0.41,13.3,0
1443,6.9,0.3,0.21,7.2,0.045,54,190,0.99595,3.22,0.48,9.4,0
1444,6.6,0.33,0.4,2.65,0.041,35,86,0.98916,3.11,0.39,13.3,0
1445,7.2,0.24,0.34,1.1,0.045,3,64,0.9913,3.23,0.51,11.4,0
1446,6.6,0.17,0.26,7.4,0.052,45,128,0.99388,3.16,0.37,10,0
1447,8.8,0.36,0.44,1.9,0.04,9,121,0.9953,3.19,0.48,9.9,0
1448,6.8,0.24,0.31,18.3,0.046,40,142,1,3.3,0.41,8.7,0
1449,7.1,0.17,0.38,7.4,0.052,49,182,0.9958,3.35,0.52,9.6,0
1450,7.3,0.36,0.62,7.1,0.033,48,185,0.99472,3.14,0.62,10.6,0
1451,6.5,0.19,0.3,0.8,0.043,33,144,0.9936,3.42,0.39,9.1,0
1452,8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,0
1453,6.2,0.36,0.26,13.2,0.051,54,201,0.9976,3.25,0.46,9,0
1454,6.6,0.41,0.16,1.4,0.037,28,160,0.99167,2.95,0.45,10.6,0
1455,5.8,0.36,0.5,1,0.127,63,178,0.99212,3.1,0.45,9.7,0
1456,6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,0
1457,7.2,0.21,0.41,1.3,0.036,33,85,0.992,3.17,0.51,10.4,0
1458,6.8,0.64,0.08,9.7,0.062,26,142,0.9972,3.37,0.46,8.9,0
1459,6.8,0.19,0.23,5.1,0.034,71,204,0.9942,3.23,0.69,10.1,0
1460,7.2,0.31,0.26,7.3,0.05,37,157,0.99625,3.09,0.43,9,0
1461,6.3,0.22,0.34,1.2,0.036,32,96,0.98961,3.06,0.74,11.6,0
1462,8.6,0.55,0.35,15.55,0.057,35.5,366.5,1.0001,3.04,0.63,11,0
1463,6.6,0.32,0.27,10.9,0.041,37,146,0.9963,3.24,0.47,10,0
1464,6.7,0.2,0.37,1.65,0.025,42,103,0.99022,3.11,0.45,11.4,0
1465,6.8,0.19,0.71,17.5,0.042,21,114,0.99784,2.85,0.5,9.5,0
1466,7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,0
1467,8,0.25,0.27,9.7,0.036,15,85,0.99406,2.99,0.36,11.2,0
1468,6,0.26,0.32,3.5,0.028,29,113,0.9912,3.4,0.71,12.3,0
1469,6.9,0.2,0.41,1.1,0.06,36,104,0.99317,2.99,0.39,9.2,0
1470,6.4,0.13,0.28,0.9,0.045,32,87,0.99175,3.47,0.52,11.2,0
1471,8,0.19,0.36,1.8,0.05,16,84,0.9936,3.15,0.45,9.8,0
1472,6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5,0
1473,6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,0
1474,8.9,0.3,0.35,4.6,0.032,32,148,0.99458,3.15,0.45,11.5,0
1475,5.2,0.24,0.15,7.1,0.043,32,134,0.99378,3.24,0.48,9.9,0
1476,6.5,0.22,0.19,1.1,0.064,36,191,0.99297,3.05,0.5,9.5,0
1477,4.8,0.29,0.23,1.1,0.044,38,180,0.98924,3.28,0.34,11.9,0
1478,7.6,0.32,0.35,1.6,0.092,24,138,0.99438,3.19,0.44,9.8,0
1479,7.3,0.4,0.26,5.45,0.016,26,90,0.98951,2.84,0.54,13.2,0
1480,7,0.16,0.3,2.6,0.043,34,90,0.99047,2.88,0.47,11.2,0
1481,4.5,0.19,0.21,0.95,0.033,89,159,0.99332,3.34,0.42,8,0
1482,6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5,0
1483,5.9,0.3,0.47,7.85,0.03,19,133,0.9933,3.52,0.43,11.5,0
1484,6.3,0.18,0.36,1.2,0.034,26,111,0.99074,3.16,0.51,11,0
1485,5.8,0.3,0.23,1.5,0.034,37,121,0.98871,2.96,0.34,12.1,0
1486,6.8,0.34,0.74,2.8,0.088,23,185,0.9928,3.51,0.7,12,0
1487,6,0.26,0.18,7,0.055,50,194,0.99591,3.21,0.43,9,0
1488,6.6,0.39,0.22,4,0.038,17,98,0.99018,3.25,0.53,13,0
1489,7.9,0.35,0.28,12.9,0.032,13,63,0.9932,2.99,0.43,13,0
1490,7.7,0.24,0.3,1.4,0.041,15,102,0.9929,3.26,0.53,10.4,0
1491,6.4,0.33,0.44,8.9,0.055,52,164,0.99488,3.1,0.48,9.6,0
1492,6.6,0.28,0.28,8.5,0.052,55,211,0.9962,3.09,0.55,8.9,0
1493,7.3,0.17,0.36,8.2,0.028,44,111,0.99272,3.14,0.41,12.4,0
1494,8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,0
1495,5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6,0
1496,7.9,0.46,0.4,10.1,0.168,19,184,0.99782,3.06,0.62,9.5,0
1497,7.3,0.18,0.65,1.4,0.046,28,157,0.9946,3.33,0.62,9.4,0
1498,6.6,0.13,0.29,13.9,0.056,33,95,0.99702,3.17,0.39,9.4,0
1499,7.4,0.2,0.29,1.7,0.047,16,100,0.99243,3.28,0.45,10.6,0
1500,6.2,0.28,0.28,4.3,0.026,22,105,0.989,2.98,0.64,13.1,0
1501,7,0.32,0.24,6.2,0.048,31,228,0.9957,3.23,0.62,9.4,0
1502,7.3,0.2,0.29,19.5,0.039,69,237,1.00037,3.1,0.48,9.2,0
1503,7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,0
1504,8.2,0.345,1,18.2,0.047,55,205,0.99965,2.96,0.43,9.6,0
1505,7.4,0.27,0.49,1.1,0.037,33,156,0.992,3.15,0.54,11.1,0
1506,7,0.23,0.42,18.05,0.05,35,144,0.9999,3.22,0.42,8.8,0
1507,5.8,0.23,0.31,4.5,0.046,42,124,0.99324,3.31,0.64,10.8,0
1508,6.8,0.27,0.49,1.2,0.044,35,126,0.99,3.13,0.48,12.1,0
1509,6.9,0.28,0.28,12.2,0.042,52,139,0.99522,3.03,0.56,10.4,0
1510,7.7,0.32,0.62,10.6,0.036,56,153,0.9978,3.13,0.44,8.9,0
1511,6.8,0.31,0.09,1.4,0.04,56,145,0.9922,3.19,0.46,10,0
1512,6,0.31,0.24,3.3,0.041,25,143,0.9914,3.31,0.44,11.3,0
1513,6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,0
1514,7.1,0.23,0.39,13.7,0.058,26,172,0.99755,2.9,0.46,9,0
1515,5.4,0.46,0.15,2.1,0.026,29,130,0.98953,3.39,0.77,13.4,0
1516,7.1,0.32,0.4,1.5,0.034,13,84,0.9944,3.42,0.6,10.4,0
1517,6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,0
1518,7.7,0.35,0.46,11.8,0.088,61,183,0.99786,2.86,0.47,9,0
1519,6.5,0.28,0.28,20.4,0.041,40,144,1.0002,3.14,0.38,8.7,0
1520,7.1,0.25,0.49,3,0.03,30,96,0.9903,3.13,0.39,12.3,0
1521,7,0.35,0.24,1.9,0.04,21,144,0.9923,3.35,0.38,11,0
1522,6.9,0.21,0.33,1.8,0.034,48,136,0.9899,3.25,0.41,12.6,0
1523,7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,0
1524,7.2,0.2,0.22,1.6,0.044,17,101,0.99471,3.37,0.53,10,0
1525,6.3,0.35,0.26,17.6,0.061,59,198,0.99918,3.11,0.49,8.8,0
1526,5.8,0.34,0.21,6.6,0.04,50,167,0.9941,3.29,0.62,10,0
1527,7,0.22,0.33,2.1,0.052,15,76,0.993,3.2,0.41,10.6,0
1528,5.8,0.23,0.31,3.5,0.044,35,158,0.98998,3.19,0.37,12.1,0
1529,5.5,0.18,0.22,5.5,0.037,10,86,0.99156,3.46,0.44,12.2,0
1530,6.5,0.18,0.48,18,0.054,56,183,1.00038,2.98,0.61,8.5,0
1531,9.2,0.15,0.68,1.6,0.046,22,130,0.9948,3.02,0.45,10.4,0
1532,8,0.3,0.49,9.4,0.046,47,188,0.9964,3.14,0.48,10,0
1533,5.9,0.48,0.3,1.5,0.037,19,78,0.99057,3.47,0.42,11.9,0
1534,6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,0
1535,6.7,0.23,0.42,11.2,0.047,52,171,0.99758,3.54,0.74,10.4,0
1536,7,0.23,0.42,18.05,0.05,35,144,0.9999,3.22,0.42,8.8,0
1537,6.7,0.16,0.37,1.3,0.036,45,125,0.98964,3.19,0.51,12.4,0
1538,6.9,0.24,0.23,7.1,0.041,20,97,0.99246,3.1,0.85,11.4,0
1539,6.3,0.16,0.4,1.6,0.033,59,148,0.9914,3.44,0.53,11.4,0
1540,6.8,0.18,0.28,8.7,0.047,52,242,0.9952,3.22,0.53,10.5,0
1541,6.8,0.18,0.35,5.4,0.054,53,143,0.99287,3.1,0.54,11,0
1542,6.7,0.24,0.29,14.9,0.053,55,136,0.99839,3.03,0.52,9,0
1543,6.3,0.2,0.4,1.5,0.037,35,107,0.9917,3.46,0.5,11.4,0
1544,7.9,0.21,0.4,1.2,0.039,38,107,0.992,3.21,0.54,10.8,0
1545,6.9,0.58,0.58,8.2,0.032,29,169,0.99275,3.28,0.44,12.2,0
1546,6.9,0.14,0.38,1,0.041,22,81,0.99043,3.03,0.54,11.4,0
1547,5.9,0.12,0.27,4.8,0.03,40,110,0.99226,3.55,0.68,12.1,0
1548,6.7,0.21,0.36,8.55,0.02,20,86,0.99146,3.19,0.22,13.4,0
1549,5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,0
1550,7.1,0.26,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2,0
1551,7.1,0.85,0.49,8.7,0.028,40,184,0.9962,3.22,0.36,10.7,0
1552,8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,0
1553,5.1,0.29,0.28,8.3,0.026,27,107,0.99308,3.36,0.37,11,0
1554,6.5,0.25,0.32,9.9,0.045,41,128,0.99636,3.18,0.52,9.6,0
1555,8.6,0.36,0.26,11.1,0.03,43.5,171,0.9948,3.03,0.49,12,0
1556,5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,0
1557,6.3,0.23,0.5,10.4,0.043,61,132,0.99542,2.86,0.46,9.1,0
1558,6.2,0.15,0.49,0.9,0.033,17,51,0.9932,3.3,0.7,9.4,0
1559,5.8,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5,0
1560,7.4,0.44,0.2,11.5,0.049,44,157,0.998,3.27,0.44,9,0
1561,6.1,0.35,0.07,1.4,0.069,22,108,0.9934,3.23,0.52,9.2,0
1562,8.3,0.33,0.43,9.2,0.046,22,126,0.9982,3.38,0.47,9.3,0
1563,6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6,0
1564,5,0.235,0.27,11.75,0.03,34,118,0.9954,3.07,0.5,9.4,0
1565,6.5,0.33,0.28,6.1,0.018,41,103,0.99122,3.24,0.32,12.2,0
1566,6.5,0.36,0.28,3.2,0.037,29,119,0.9908,3.25,0.65,12.4,0
1567,6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4,0
1568,7.5,0.24,0.29,1.1,0.046,34,84,0.9902,3.04,0.39,11.45,0
1569,5.6,0.225,0.24,9.8,0.054,59,140,0.99545,3.17,0.39,10.2,0
1570,6,0.33,0.38,9.7,0.04,29,124,0.9954,3.47,0.48,11,0
1571,6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,0
1572,7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,0
1573,7.4,0.35,0.24,6,0.042,28,123,0.99304,3.14,0.44,11.3,0
1574,6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,0
1575,6.6,0.31,0.49,7.7,0.05,52,220,0.9964,3.12,0.45,8.8,0
1576,6.4,0.31,0.39,7.5,0.04,57,213,0.99475,3.32,0.43,10,0
1577,6.3,0.34,0.28,14.7,0.047,49,198,0.9977,3.23,0.46,9.5,0
1578,5.3,0.4,0.25,3.9,0.031,45,130,0.99072,3.31,0.58,11.75,0
1579,6.6,0.25,0.31,1.5,0.035,32,127,0.9921,3.41,0.47,11.3,0
1580,6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6,0
1581,6.5,0.41,0.64,11.8,0.065,65,225,0.9978,3.12,0.51,8.9,0
1582,6.4,0.17,0.27,1.5,0.037,20,98,0.9916,3.46,0.42,11,0
1583,6.1,0.24,0.27,9.8,0.062,33,152,0.9966,3.31,0.47,9.5,0
1584,6.8,0.28,0.35,2.3,0.042,16,85,0.9906,3.19,0.56,12.4,0
1585,8.4,0.23,0.49,7.8,0.035,22,95,0.9935,3.04,0.34,12,0
1586,7.8,0.29,0.36,7,0.042,38,161,0.9941,3.26,0.37,11.2,0
1587,5.2,0.21,0.31,1.7,0.048,17,61,0.98953,3.24,0.37,12,0
1588,6.9,0.28,0.33,1.2,0.039,16,98,0.9904,3.07,0.39,11.7,0
1589,6.1,0.25,0.3,1.2,0.036,42,107,0.991,3.34,0.56,10.8,0
1590,6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5,0
1591,7.1,0.18,0.49,1.3,0.033,12,72,0.99072,3.05,0.53,11.3,0
1592,7.4,0.2,0.37,16.95,0.048,43,190,0.9995,3.03,0.42,9.2,0
1593,8,0.42,0.36,5,0.037,34,101,0.992,3.13,0.57,12.3,0
1594,6.6,0.25,0.51,8,0.047,61,189,0.99604,3.22,0.49,9.2,0
1595,5.5,0.28,0.21,1.6,0.032,23,85,0.99027,3.42,0.42,12.5,0
1596,7,0.16,0.36,2.6,0.029,28,98,0.99126,3.11,0.37,11.2,0
1597,6,0.33,0.26,5.1,0.051,16,119,0.99416,3.15,0.41,9.2,0
1598,7,0.14,0.4,1.7,0.035,16,85,0.9911,3.19,0.42,11.8,0
1599,6.6,0.23,0.2,11.4,0.044,45,131,0.99604,2.96,0.51,9.7,0
1600,7.5,0.28,0.34,4.2,0.028,36,116,0.991,2.99,0.41,12.3,0
1601,6.5,0.48,0.02,0.9,0.043,32,99,0.99226,3.14,0.47,9.8,0
1602,6.2,0.44,0.18,7.7,0.096,28,210,0.99771,3.56,0.72,9.2,0
1603,6.1,0.27,0.28,9.8,0.042,61,125,0.99532,3.14,0.42,10.2,0
1604,7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,0
1605,6.6,0.31,0.07,1.5,0.033,55,144,0.99208,3.16,0.42,10,0
1606,6.4,0.22,0.32,12,0.066,57,158,0.9992,3.6,0.43,9,0
1607,7.5,0.38,0.29,4.9,0.021,38,113,0.99026,3.08,0.48,13,0
1608,7.1,0.39,0.39,11.1,0.034,25,204,0.99616,3.05,0.52,10,0
1609,7.6,0.19,0.37,13.1,0.033,52,151,0.99726,3.18,0.79,10.4,0
1610,6.4,0.31,0.28,2.5,0.039,34,137,0.98946,3.22,0.38,12.7,0
1611,6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,0
1612,10.3,0.25,0.48,2.2,0.042,28,164,0.998,3.19,0.59,9.7,0
1613,6.6,0.38,0.29,2.4,0.136,15,93,0.99336,3.18,0.6,9.5,0
1614,6.7,0.21,0.32,5.4,0.047,29,140,0.995,3.39,0.46,9.7,0
1615,7.8,0.29,0.29,3.15,0.044,41,117,0.99153,3.24,0.35,11.5,0
1616,7,0.32,0.31,6.4,0.031,38,115,0.99235,3.38,0.58,12.2,0
1617,7,0.21,0.34,8,0.057,19,101,0.9954,2.99,0.59,9.4,0
1618,6.9,0.29,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9,0
1619,6.6,0.56,0.16,3.1,0.045,28,92,0.994,3.12,0.35,9.1,0
1620,6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,0
1621,7,0.28,0.32,1.7,0.038,27,128,0.99375,3.2,0.62,10.2,0
1622,7.9,0.42,0.49,8.2,0.056,32,164,0.9965,3.29,0.6,11.2,0
1623,6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,0
1624,7.5,0.24,0.49,9.4,0.048,50,149,0.9962,3.17,0.59,10.5,0
1625,6.4,0.14,0.28,7.9,0.057,21,82,0.99425,3.26,0.36,10,0
1626,5.9,0.34,0.25,2,0.042,12,110,0.99034,3.02,0.54,11.4,0
1627,6.4,0.125,0.36,1.4,0.044,22,68,0.99014,3.15,0.5,11.7,0
1628,6.5,0.16,0.33,1,0.027,23,75,0.9908,3.3,0.39,11.4,0
1629,7.5,0.18,0.37,6.2,0.05,21,138,0.99546,3.2,0.55,10.5,0
1630,7.4,0.32,0.22,1.7,0.051,50,179,0.9955,3.28,0.69,8.9,0
1631,6.3,0.28,0.22,11.5,0.036,27,150,0.99445,3,0.33,10.6,0
1632,7.7,0.23,0.31,10.7,0.038,59,186,0.9969,3.12,0.55,9.5,0
1633,7.3,0.25,0.26,7.2,0.048,52,207,0.99587,3.12,0.37,9.2,0
1634,5.7,0.18,0.22,4.2,0.042,25,111,0.994,3.35,0.39,9.4,0
1635,6.5,0.38,0.34,3.4,0.036,34,200,0.9937,3.14,0.76,10,0
1636,6.7,0.24,0.33,12.3,0.046,31,145,0.9983,3.36,0.4,9.5,0
1637,5.8,0.28,0.27,2.6,0.054,30,156,0.9914,3.53,0.42,12.4,0
1638,7.4,0.26,0.3,7.9,0.049,38,157,0.9963,3.13,0.48,8.9,0
1639,6.5,0.23,0.38,1.3,0.032,29,112,0.99298,3.29,0.54,9.7,0
1640,6.6,0.19,0.28,11.8,0.042,54,137,0.99492,3.18,0.37,10.8,0
1641,7.4,0.22,0.27,1.6,0.057,45,98,0.99299,3.29,0.44,9.9,0
1642,6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,0
1643,7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,0
1644,6.6,0.21,0.29,5.35,0.029,43,106,0.99112,2.93,0.43,11.5,0
1645,6.1,0.22,0.23,3.1,0.052,15,104,0.9948,3.14,0.42,8.7,0
1646,7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,0
1647,7.6,0.19,0.41,1.1,0.04,38,143,0.9907,2.92,0.42,11.4,0
1648,6.8,0.21,0.27,2.1,0.03,26,139,0.99,3.16,0.61,12.6,0
1649,7.3,0.33,0.4,6.85,0.038,32,138,0.992,3.03,0.3,11.9,0
1650,5.8,0.17,0.3,1.4,0.037,55,130,0.9909,3.29,0.38,11.3,0
1651,6.4,0.5,0.2,2.4,0.059,19,112,0.99314,3.18,0.4,9.2,0
1652,7.1,0.33,0.18,6.3,0.094,27,166,0.99474,2.9,0.49,9.5,0
1653,7.6,0.56,0.12,10.4,0.096,22,177,0.9983,3.32,0.45,9.1,0
1654,7.15,0.17,0.24,9.6,0.119,56,178,0.99578,3.15,0.44,10.2,0
1655,5.3,0.395,0.07,1.3,0.035,26,102,0.992,3.5,0.35,10.6,0
1656,7.4,0.29,0.25,3.8,0.044,30,114,0.992,3.11,0.4,11,0
1657,6.1,0.22,0.5,6.6,0.045,30,122,0.99415,3.22,0.49,9.9,0
1658,6.5,0.26,0.32,16.5,0.045,44,166,1,3.38,0.46,9.5,0
1659,6.2,0.27,0.26,12.1,0.046,43,127,0.9951,3.16,0.37,10.8,0
1660,6.2,0.33,0.19,5.6,0.042,22,143,0.99425,3.15,0.63,9.9,0
1661,7.4,0.32,0.55,16.6,0.056,53,238,1.0017,2.96,0.58,8.7,0
1662,7.7,0.38,0.23,10.8,0.03,28,95,0.99164,2.93,0.41,13.6,0
1663,6.4,0.26,0.35,7.7,0.056,45,191,0.99527,3.16,0.5,9.5,0
1664,8.2,0.23,0.49,0.9,0.057,15,73,0.9928,3.07,0.38,10.4,0
1665,6.8,0.22,0.35,17.5,0.039,38,153,0.9994,3.24,0.42,9,0
1666,7.4,0.3,0.32,1.7,0.03,23,128,0.9929,3.17,0.66,10.9,0
1667,6.4,0.16,0.31,5.3,0.043,42,157,0.99455,3.35,0.47,10.5,0
1668,6.1,0.37,0.46,12,0.042,61,210,0.997,3.17,0.59,9.7,0
1669,7,0.23,0.26,7.2,0.041,21,90,0.99509,3.22,0.55,9.5,0
1670,7.8,0.28,0.34,1.6,0.028,32,118,0.9901,3,0.38,12.1,0
1671,6.2,0.2,0.25,15,0.055,8,120,0.99767,3.19,0.53,9.6,0
1672,6.4,0.15,0.36,1.8,0.034,43,150,0.9922,3.42,0.69,11,0
1673,5.3,0.3,0.16,4.2,0.029,37,100,0.9905,3.3,0.36,11.8,0
1674,6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,0
1675,6.9,0.3,0.36,4.5,0.054,31,203,0.99513,3.4,0.57,10.4,0
1676,6,0.39,0.13,1.2,0.042,60,172,0.99114,3.06,0.52,10.6,0
1677,7.6,0.22,0.28,12,0.056,68,143,0.9983,2.99,0.3,9.2,0
