FIPS,State,County,2010 Census Population,"Population Estimate, 2011","Population Estimate, 2012","Population Estimate, 2013","Population Estimate, 2014","Population Estimate, 2015","Population Estimate, 2016"
19051, Iowa,Davis ,8753,8760,8697,8762,8745,8777,8860
19053, Iowa,Decatur ,8457,8261,8255,8240,8231,8185,8141
19055, Iowa,Delaware ,17764,17652,17578,17499,17413,17406,17327
19057, Iowa,Des Moines ,40325,40095,40265,40437,40143,39985,39739
19059, Iowa,Dickinson ,16667,16889,16986,16944,16937,17122,17243
19061, Iowa,Dubuque ,93653,94564,95211,95964,96582,97034,97003
19063, Iowa,Emmet ,10302,10081,9964,9904,9841,9732,9658
19065, Iowa,Fayette ,20880,20979,20803,20528,20345,20223,20054
19067, Iowa,Floyd ,16303,16098,16107,16062,16026,15954,15873
19069, Iowa,Franklin ,10680,10693,10523,10522,10442,10308,10170
19071, Iowa,Fremont ,7441,7371,7143,7065,7034,6902,6950
19073, Iowa,Greene ,9336,9320,9171,9145,9129,8960,9011
19075, Iowa,Grundy ,12453,12474,12440,12324,12376,12413,12313
19077, Iowa,Guthrie ,10954,10872,10777,10679,10710,10663,10625
19079, Iowa,Hamilton ,15673,15460,15327,15330,15189,15213,15076
19081, Iowa,Hancock ,11341,11271,11165,11061,10986,10985,10835
19083, Iowa,Hardin ,17534,17402,17353,17413,17354,17276,17226
19085, Iowa,Harrison ,14928,14797,14522,14415,14342,14248,14149
19087, Iowa,Henry ,20145,20286,20044,20103,19895,19892,19773
19089, Iowa,Howard ,9566,9538,9576,9476,9400,9367,9332
19091, Iowa,Humboldt ,9815,9790,9720,9667,9617,9546,9487
19093, Iowa,Ida ,7089,7079,7091,7130,6994,7004,6985
19095, Iowa,Iowa ,16355,16352,16218,16344,16378,16381,16311
19097, Iowa,Jackson ,19848,19724,19693,19549,19476,19454,19472
19099, Iowa,Jasper ,36842,36631,36566,36743,36830,36729,36708
19101, Iowa,Jefferson ,16843,17039,17201,17493,17671,17853,18090
19103, Iowa,Johnson ,130882,133715,136865,139773,142280,144567,146547
19105, Iowa,Jones ,20638,20739,20595,20494,20480,20395,20439
19107, Iowa,Keokuk ,10511,10368,10397,10305,10220,10129,10119
19109, Iowa,Kossuth ,15543,15392,15373,15282,15204,15155,15114
19111, Iowa,Lee ,35862,35586,35610,35359,35206,35071,34615
19113, Iowa,Linn ,211226,214022,215255,216077,217596,219792,221661
19115, Iowa,Louisa ,11387,11366,11340,11321,11222,11231,11142
19117, Iowa,Lucas ,8898,8838,8754,8722,8685,8692,8647
19119, Iowa,Lyon ,11581,11720,11772,11687,11690,11749,11754
19121, Iowa,Madison ,15679,15735,15639,15471,15602,15746,15848
19123, Iowa,Mahaska ,22381,22510,22419,22403,22326,22291,22181
19125, Iowa,Marion ,33309,33319,33315,33077,33261,33141,33189
19127, Iowa,Marshall ,40648,40990,41053,41004,40792,40512,40312
19129, Iowa,Mills ,15059,15014,14853,14859,14708,14815,14972
19131, Iowa,Mitchell ,10776,10721,10746,10718,10769,10787,10763
19133, Iowa,Monona ,9243,9262,9138,9092,8965,8974,8898
19135, Iowa,Monroe ,7970,8044,8066,7977,7960,7947,7870
19137, Iowa,Montgomery ,10740,10655,10567,10438,10443,10227,10225
19139, Iowa,Muscatine ,42745,42767,42884,42941,42961,43017,42940
19141, Iowa,O'Brien ,14398,14206,14161,14043,14062,13989,14020
19143, Iowa,Osceola ,6462,6308,6180,6206,6193,6127,6064
19145, Iowa,Page ,15932,15926,15750,15554,15544,15521,15391
19147, Iowa,Palo Alto ,9421,9360,9281,9182,9126,9139,9047
19149, Iowa,Plymouth ,24986,24831,24888,24945,24913,24913,25200
19151, Iowa,Pocahontas ,7310,7218,7161,7145,7123,6991,6886
19153, Iowa,Polk ,430640,437807,443821,451461,459780,466688,474045
19155, Iowa,Pottawattamie ,93158,93450,92887,92814,93174,93534,93582
19157, Iowa,Poweshiek ,18914,18867,18766,18632,18667,18512,18533
19159, Iowa,Ringgold ,5131,5098,5082,5036,5031,5054,5068
19161, Iowa,Sac ,10350,10235,10177,10050,10060,10009,9876
19163, Iowa,Scott ,165224,167046,168840,170551,171546,172170,172474
19165, Iowa,Shelby ,12167,12031,12082,11964,11962,11913,11800
19167, Iowa,Sioux ,33704,34030,34339,34494,34622,34752,34898
19169, Iowa,Story ,89542,90864,91799,93569,95366,96346,97090
19171, Iowa,Tama ,17767,17635,17536,17512,17405,17341,17319
19173, Iowa,Taylor ,6317,6283,6237,6210,6155,6229,6216
19175, Iowa,Union ,12534,12570,12599,12606,12621,12447,12420
19177, Iowa,Van Buren ,7570,7514,7456,7438,7410,7325,7271
19179, Iowa,Wapello ,35625,35434,35357,35379,35244,35248,34982
19181, Iowa,Warren ,46225,46678,46991,47452,48010,48706,49691
19183, Iowa,Washington ,21704,21837,21928,22017,22097,22251,22281
19185, Iowa,Wayne ,6403,6367,6364,6422,6392,6386,6452
19187, Iowa,Webster ,38013,37727,37252,37256,36983,36992,36769
19189, Iowa,Winnebago ,10866,10727,10634,10477,10593,10567,10631
19191, Iowa,Winneshiek ,21056,21045,21042,20862,20728,20754,20561
19193, Iowa,Woodbury ,102172,102649,102330,102242,102314,102464,102779
19195, Iowa,Worth ,7598,7583,7525,7541,7605,7562,7572
19197, Iowa,Wright ,13229,13039,13019,12969,12883,12803,12779
20001, Kansas,Allen ,13371,13344,13336,13080,12903,12724,12714
20003, Kansas,Anderson ,8102,8046,7912,7845,7880,7824,7827
20005, Kansas,Atchison ,16924,16778,16793,16696,16509,16409,16380
20007, Kansas,Barber ,4861,4914,4866,4914,4878,4821,4688
20009, Kansas,Barton ,27674,27676,27515,27425,27262,27092,26775
20011, Kansas,Bourbon ,15173,14925,14844,14796,14774,14724,14617
20013, Kansas,Brown ,9984,9989,9879,9940,9804,9745,9684
20015, Kansas,Butler ,65880,65870,65781,65835,66077,66601,67025
20017, Kansas,Chase ,2790,2789,2752,2701,2673,2676,2669
20019, Kansas,Chautauqua ,3669,3614,3565,3546,3473,3392,3374
20021, Kansas,Cherokee ,21603,21373,21201,20908,20769,20561,20246
20023, Kansas,Cheyenne ,2726,2705,2677,2678,2694,2687,2661
20025, Kansas,Clark ,2215,2137,2179,2194,2120,2089,2072
20027, Kansas,Clay ,8535,8513,8508,8401,8338,8340,8143
20029, Kansas,Cloud ,9533,9405,9407,9370,9348,9235,9150
20031, Kansas,Coffey ,8601,8515,8507,8424,8440,8359,8433
20033, Kansas,Comanche ,1891,1885,1910,1922,1945,1839,1862
20035, Kansas,Cowley ,36311,36240,36262,36181,35911,35777,35753
20037, Kansas,Crawford ,39134,39198,39369,39312,39327,39231,39164
20039, Kansas,Decatur ,2961,2918,2877,2905,2890,2926,2832
20041, Kansas,Dickinson ,19754,19707,19731,19477,19354,19292,19064
20043, Kansas,Doniphan ,7945,7951,7869,7844,7833,7756,7664
20045, Kansas,Douglas ,110826,112424,113304,114672,116430,117915,119440
20047, Kansas,Edwards ,3037,3028,2980,2965,3022,2970,2938
20049, Kansas,Elk ,2882,2799,2678,2647,2699,2602,2547
20051, Kansas,Ellis ,28452,28779,29125,29089,29027,29024,28893
20053, Kansas,Ellsworth ,6497,6469,6471,6382,6365,6330,6328
20055, Kansas,Finney ,36776,37131,37114,37031,37048,37000,36722
20057, Kansas,Ford ,33848,34410,34729,34829,34667,34263,33971
20059, Kansas,Franklin ,25992,25879,25859,25770,25567,25559,25560
20061, Kansas,Geary ,34362,35301,37947,36893,36682,36981,35586
20063, Kansas,Gove ,2695,2691,2722,2761,2710,2657,2589
20065, Kansas,Graham ,2597,2635,2587,2592,2553,2589,2564
20067, Kansas,Grant ,7829,7884,7824,7822,7758,7690,7646
20069, Kansas,Gray ,6006,6104,5983,5996,6078,6095,6034
20071, Kansas,Greeley ,1247,1254,1270,1292,1302,1317,1296
20073, Kansas,Greenwood ,6689,6607,6440,6375,6308,6244,6151
20075, Kansas,Hamilton ,2690,2629,2635,2593,2590,2481,2536
20077, Kansas,Harper ,6034,5939,5859,5844,5821,5781,5685
20079, Kansas,Harvey ,34684,34707,34796,34784,34670,34908,34913
20081, Kansas,Haskell ,4256,4216,4196,4101,4076,4058,4006
20083, Kansas,Hodgeman ,1916,1988,1964,1954,1911,1896,1870
20085, Kansas,Jackson ,13462,13448,13417,13332,13456,13328,13291
20087, Kansas,Jefferson ,19126,18983,18921,18835,18863,18886,18897
20089, Kansas,Jewell ,3077,3090,3040,3059,3038,2978,2901
20091, Kansas,Johnson ,544179,552855,559515,566393,573024,578758,584451
20093, Kansas,Kearny ,3977,3967,3983,3921,3944,3948,3917
20095, Kansas,Kingman ,7858,7898,7831,7829,7704,7653,7467
20097, Kansas,Kiowa ,2553,2557,2505,2527,2525,2558,2483
20099, Kansas,Labette ,21607,21424,21206,20913,20852,20749,20444
20101, Kansas,Lane ,1750,1764,1701,1718,1685,1663,1636
20103, Kansas,Leavenworth ,76227,77102,77713,78141,78658,79207,80204
20105, Kansas,Lincoln ,3241,3216,3170,3143,3158,3126,3073
20107, Kansas,Linn ,9656,9606,9482,9515,9502,9561,9558
20109, Kansas,Logan ,2756,2764,2792,2780,2784,2814,2831
20111, Kansas,Lyon ,33690,33654,33534,33517,33201,33243,33510
20113, Kansas,McPherson ,29180,29213,29341,29596,29134,28944,28804
20115, Kansas,Marion ,12660,12546,12379,12234,12221,12120,12112
20117, Kansas,Marshall ,10117,9999,10065,10020,9990,9906,9836
20119, Kansas,Meade ,4575,4524,4397,4295,4353,4288,4216
20121, Kansas,Miami ,32787,32714,32622,32807,32817,32727,32964
20123, Kansas,Mitchell ,6373,6296,6334,6330,6271,6319,6243
20125, Kansas,Montgomery ,35471,34764,34447,34361,33957,33316,32746
20127, Kansas,Morris ,5923,5860,5852,5717,5678,5650,5573
20129, Kansas,Morton ,3233,3171,3133,3133,3058,2992,2848
20131, Kansas,Nemaha ,10178,10136,10117,10158,10162,10209,10241
20133, Kansas,Neosho ,16512,16469,16462,16451,16396,16333,16146
20135, Kansas,Ness ,3107,3124,3083,3087,3089,3015,2962
20137, Kansas,Norton ,5671,5670,5597,5620,5528,5552,5493
20139, Kansas,Osage ,16295,16340,16170,16088,15991,15912,15843
20141, Kansas,Osborne ,3858,3846,3818,3815,3772,3684,3642
20143, Kansas,Ottawa ,6091,6086,6062,6060,6032,5946,5920
20145, Kansas,Pawnee ,6973,7013,6894,6910,6849,6805,6743
20147, Kansas,Phillips ,5642,5540,5516,5554,5492,5431,5428
20149, Kansas,Pottawatomie ,21604,22032,22335,22611,22799,23194,23661
20151, Kansas,Pratt ,9656,9650,9772,9798,9775,9718,9584
20153, Kansas,Rawlins ,2519,2542,2540,2591,2565,2538,2549
20155, Kansas,Reno ,64511,64422,64245,64168,63737,63647,63220
20157, Kansas,Republic ,4980,4901,4847,4794,4776,4722,4699
20159, Kansas,Rice ,10083,10090,10000,9985,9986,9943,9831
20161, Kansas,Riley ,71115,73338,76273,75502,74698,75312,73343
20163, Kansas,Rooks ,5181,5195,5212,5181,5173,5159,5076
20165, Kansas,Rush ,3307,3201,3208,3179,3171,3102,3058
20167, Kansas,Russell ,6970,6972,6978,6955,6989,7029,6988
20169, Kansas,Saline ,55606,55726,55838,55726,55514,55516,55142
20171, Kansas,Scott ,4936,4905,4870,4922,4985,4980,5032
20173, Kansas,Sedgwick ,498365,500900,503945,506141,508666,510360,511995
20175, Kansas,Seward ,22952,23171,23403,23355,23299,23159,22709
20177, Kansas,Shawnee ,177934,178908,178980,178661,178509,178541,178146
20179, Kansas,Sheridan ,2556,2543,2531,2534,2535,2501,2509
20181, Kansas,Sherman ,6010,6033,6106,6077,6064,5976,5965
20183, Kansas,Smith ,3853,3790,3751,3703,3725,3693,3632
20185, Kansas,Stafford ,4437,4382,4343,4340,4293,4236,4208
20187, Kansas,Stanton ,2235,2217,2163,2172,2125,2053,2062
20189, Kansas,Stevens ,5724,5639,5748,5813,5812,5731,5584
20191, Kansas,Sumner ,24132,23845,23701,23609,23471,23494,23272
20193, Kansas,Thomas ,7900,7945,7938,7951,7850,7915,7892
20195, Kansas,Trego ,3001,2974,2969,2964,2908,2923,2872
20197, Kansas,Wabaunsee ,7053,7032,7007,7027,6972,6905,6891
20199, Kansas,Wallace ,1485,1524,1528,1566,1509,1513,1497
20201, Kansas,Washington ,5799,5831,5726,5627,5602,5564,5546
20203, Kansas,Wichita ,2234,2262,2230,2185,2170,2145,2112
20205, Kansas,Wilson ,9409,9243,9126,9090,8989,8852,8723
20207, Kansas,Woodson ,3309,3312,3267,3205,3168,3124,3165
20209, Kansas,Wyandotte ,157505,157973,159360,160744,161855,163095,163831
21001, Kentucky,Adair ,18656,18978,18931,19095,19210,19264,19280
21003, Kentucky,Allen ,19956,20171,20232,20278,20405,20561,20631
21005, Kentucky,Anderson ,21421,21548,21660,21731,21858,21929,22158
21007, Kentucky,Ballard ,8249,8289,8311,8277,8217,8219,8054
21009, Kentucky,Barren ,42173,42373,42645,42996,43126,43676,43993
21011, Kentucky,Bath ,11591,11707,11802,12004,12173,12261,12327
21013, Kentucky,Bell ,28691,28635,28247,27971,27750,27294,27117
21015, Kentucky,Boone ,118811,121449,122847,123998,125735,127163,128536
21017, Kentucky,Bourbon ,19985,19982,19985,19946,19988,20073,20030
21019, Kentucky,Boyd ,49542,49409,49256,48907,48795,48488,48132
21021, Kentucky,Boyle ,28432,28756,28993,29621,29809,29807,30018
21023, Kentucky,Bracken ,8488,8501,8468,8436,8389,8329,8400
21025, Kentucky,Breathitt ,13878,13839,13657,13584,13425,13430,13284
21027, Kentucky,Breckinridge ,20059,20274,20095,20053,19897,19993,19961
21029, Kentucky,Bullitt ,74319,75298,75947,76863,78022,78653,79151
21031, Kentucky,Butler ,12690,12765,12794,12796,12843,12860,12845
21033, Kentucky,Caldwell ,12984,12988,12938,12816,12780,12690,12568
21035, Kentucky,Calloway ,37191,37675,38057,38293,38282,38441,38437
21037, Kentucky,Campbell ,90336,90976,90780,90873,91490,91925,92211
21039, Kentucky,Carlisle ,5104,5046,5042,4980,4988,4903,4855
21041, Kentucky,Carroll ,10811,10979,10869,10854,10758,10718,10679
21043, Kentucky,Carter ,27720,27427,27473,27398,27318,27224,27046
21045, Kentucky,Casey ,15955,15958,16081,16092,15837,15815,15815
21047, Kentucky,Christian ,73955,73573,75638,74246,73962,73484,72351
21049, Kentucky,Clark ,35613,35466,35752,35595,35681,35684,35819
21051, Kentucky,Clay ,21730,21616,21565,21259,21162,21047,20766
21053, Kentucky,Clinton ,10272,10149,10243,10151,10156,10135,10177
21055, Kentucky,Crittenden ,9315,9285,9259,9208,9202,9198,9188
21057, Kentucky,Cumberland ,6856,6869,6861,6803,6741,6756,6738
21059, Kentucky,Daviess ,96656,97237,97886,98311,98416,99333,99674
21061, Kentucky,Edmonson ,12161,12267,12141,12092,12043,12040,12114
21063, Kentucky,Elliott ,7852,7915,7761,7669,7638,7650,7588
21065, Kentucky,Estill ,14672,14635,14488,14456,14420,14361,14307
21067, Kentucky,Fayette ,295803,301272,305201,308501,310725,314767,318449
21069, Kentucky,Fleming ,14348,14495,14547,14551,14498,14613,14507
21071, Kentucky,Floyd ,39451,39813,39232,38558,38139,37679,37110
21073, Kentucky,Franklin ,49285,49379,49514,49600,49963,50273,50560
21075, Kentucky,Fulton ,6813,6726,6536,6377,6265,6259,6179
21077, Kentucky,Gallatin ,8589,8580,8491,8489,8564,8562,8609
21079, Kentucky,Garrard ,16912,16835,16953,16927,16906,17175,17292
21081, Kentucky,Grant ,24662,24710,24489,24541,24831,24740,24923
21083, Kentucky,Graves ,37121,37542,37535,37352,37577,37251,37182
21085, Kentucky,Grayson ,25746,25789,25864,26024,26155,26233,26184
21087, Kentucky,Green ,11258,11221,11317,11173,11043,11022,11060
21089, Kentucky,Greenup ,36910,36805,36647,36423,36282,36031,35893
21091, Kentucky,Hancock ,8565,8609,8666,8672,8722,8710,8810
21093, Kentucky,Hardin ,105543,107498,107173,108282,108610,106486,107316
21095, Kentucky,Harlan ,29278,29172,28715,28562,28098,27613,27168
21097, Kentucky,Harrison ,18846,18684,18602,18548,18635,18712,18646
21099, Kentucky,Hart ,18199,18318,18409,18474,18550,18489,18627
21101, Kentucky,Henderson ,46250,46367,46445,46339,46387,46388,46253
21103, Kentucky,Henry ,15416,15365,15325,15413,15538,15544,15818
21105, Kentucky,Hickman ,4902,4813,4751,4726,4710,4642,4627
21107, Kentucky,Hopkins ,46920,46879,46707,46560,46341,46281,45904
21109, Kentucky,Jackson ,13494,13409,13315,13416,13340,13346,13368
21111, Kentucky,Jefferson ,741096,746240,751342,757715,760703,763509,765352
21113, Kentucky,Jessamine ,48586,48969,49550,50222,51008,51936,52357
21115, Kentucky,Johnson ,23356,23448,23441,23486,23283,23212,22978
21117, Kentucky,Kenton ,159720,160401,161297,162918,163463,164342,164945
21119, Kentucky,Knott ,16346,16293,16124,16097,15955,15700,15544
21121, Kentucky,Knox ,31883,32086,31741,31867,31735,31668,31687
21123, Kentucky,Larue ,14193,14203,14093,14081,14171,14193,14096
21125, Kentucky,Laurel ,58849,59368,59603,59747,60048,60101,60250
21127, Kentucky,Lawrence ,15860,15908,15846,15869,15880,15893,15863
21129, Kentucky,Lee ,7887,7691,7551,6838,6774,6737,6580
21131, Kentucky,Leslie ,11310,11281,11170,11036,10892,10707,10538
21133, Kentucky,Letcher ,24519,24432,24039,23588,23417,23091,22773
21135, Kentucky,Lewis ,13870,13806,13754,13698,13760,13576,13442
21137, Kentucky,Lincoln ,24742,24721,24431,24463,24464,24388,24372
21139, Kentucky,Livingston ,9519,9501,9448,9362,9361,9324,9269
21141, Kentucky,Logan ,26835,26814,26682,26958,26815,26739,26593
21143, Kentucky,Lyon ,8314,8425,8440,8448,8379,8289,8069
21145, Kentucky,McCracken ,65565,65779,65635,65368,65324,64973,65162
21147, Kentucky,McCreary ,18306,18276,18058,17927,17892,17861,17511
21149, Kentucky,McLean ,9531,9528,9526,9499,9466,9496,9475
21151, Kentucky,Madison ,82916,84842,85517,86062,87218,88276,89547
21153, Kentucky,Magoffin ,13333,13213,13050,12935,12970,12794,12684
21155, Kentucky,Marion ,19820,20037,19974,19940,19101,19263,19205
21157, Kentucky,Marshall ,31448,31284,31289,31228,31072,31109,31365
21159, Kentucky,Martin ,12929,12886,12788,12695,12554,12352,12002
21161, Kentucky,Mason ,17490,17536,17458,17298,17122,17077,17190
21163, Kentucky,Meade ,28602,29685,29301,29285,29189,27853,28126
21165, Kentucky,Menifee ,6306,6410,6323,6335,6295,6363,6408
21167, Kentucky,Mercer ,21331,21284,21373,21328,21431,21448,21477
21169, Kentucky,Metcalfe ,10099,10079,9999,9970,10009,9920,10018
21171, Kentucky,Monroe ,10963,10910,10844,10701,10672,10653,10588
21173, Kentucky,Montgomery ,26499,26761,26894,27266,27391,27631,27771
21175, Kentucky,Morgan ,13923,13723,13531,13390,13382,13292,13298
21177, Kentucky,Muhlenberg ,31499,31522,31377,31273,31254,31146,31028
21179, Kentucky,Nelson ,43437,44022,44376,44501,44820,45117,45559
21181, Kentucky,Nicholas ,7135,7096,7027,7034,7075,7088,7084
21183, Kentucky,Ohio ,23842,24004,24056,24047,24064,24216,24378
21185, Kentucky,Oldham ,60316,60756,62104,63059,64029,64626,65560
21187, Kentucky,Owen ,10841,10817,10754,10621,10638,10710,10642
21189, Kentucky,Owsley ,4755,4823,4691,4603,4505,4470,4491
21191, Kentucky,Pendleton ,14877,14649,14523,14539,14460,14463,14560
21193, Kentucky,Perry ,28712,28740,28376,28111,27713,27546,27343
21195, Kentucky,Pike ,65024,64950,64645,63917,63033,61804,60555
21197, Kentucky,Powell ,12613,12628,12483,12490,12382,12271,12308
21199, Kentucky,Pulaski ,63063,63435,63508,63734,63837,63827,63956
21201, Kentucky,Robertson ,2282,2290,2220,2221,2199,2158,2155
21203, Kentucky,Rockcastle ,17056,17116,17084,16751,16832,16950,16850
21205, Kentucky,Rowan ,23333,23593,23873,24253,24264,24667,24451
21207, Kentucky,Russell ,17565,17676,17566,17725,17770,17636,17722
21209, Kentucky,Scott ,47173,48060,49066,50067,51308,52327,53972
21211, Kentucky,Shelby ,42074,42917,43651,44290,44894,45591,46408
21213, Kentucky,Simpson ,17327,17326,17592,17760,17855,17990,18083
21215, Kentucky,Spencer ,17061,17356,17426,17576,17736,17979,18274
21217, Kentucky,Taylor ,24512,24997,25077,25156,25378,25567,25397
21219, Kentucky,Todd ,12460,12433,12639,12486,12466,12437,12295
21221, Kentucky,Trigg ,14339,14215,14409,14308,14142,14210,14264
21223, Kentucky,Trimble ,8809,8812,8830,8808,8732,8763,8620
21225, Kentucky,Union ,15007,15277,15114,15111,15168,15053,14880
21227, Kentucky,Warren ,113792,115558,117040,118948,120651,123159,125532
21229, Kentucky,Washington ,11717,11781,11879,11920,11994,12105,12189
21231, Kentucky,Wayne ,20813,20883,20789,20676,20462,20404,20453
21233, Kentucky,Webster ,13621,13543,13476,13392,13234,13239,13316
21235, Kentucky,Whitley ,35637,35656,35621,35751,35743,36000,36096
21237, Kentucky,Wolfe ,7355,7366,7205,7275,7237,7230,7159
21239, Kentucky,Woodford ,24939,24921,25072,25294,25591,25876,26124
22001, Louisiana,Acadia ,61773,61775,61884,62169,62562,62601,62645
22003, Louisiana,Allen ,25764,25727,25566,25597,25644,25602,25684
22005, Louisiana,Ascension ,107215,110039,112235,114557,117291,119373,121587
22007, Louisiana,Assumption ,23421,23201,23089,23207,23028,22846,22695
22009, Louisiana,Avoyelles ,42073,41830,41612,41308,41147,41077,41117
22011, Louisiana,Beauregard ,35654,36074,36313,36241,36216,36477,36927
22013, Louisiana,Bienville ,14353,14232,14167,13945,13771,13871,13865
22015, Louisiana,Bossier ,116979,120039,123165,123894,124894,125588,126057
22017, Louisiana,Caddo ,254969,257005,257396,255224,252747,251405,248851
22019, Louisiana,Calcasieu ,192768,193825,194563,195491,196815,198693,200601
22021, Louisiana,Caldwell ,10132,10095,10012,9932,9923,10032,10087
22023, Louisiana,Cameron ,6839,6690,6627,6688,6697,6802,6882
22025, Louisiana,Catahoula ,10407,10318,10263,10293,10172,10074,9921
22027, Louisiana,Claiborne ,17195,16947,16851,16653,16371,16251,16132
22029, Louisiana,Concordia ,20822,20822,20458,20450,20413,20197,19920
22031, Louisiana,De Soto ,26656,26774,26991,27026,27005,27064,27149
22033, Louisiana,East Baton Rouge ,440171,441268,443039,444527,445864,446216,447037
22035, Louisiana,East Carroll ,7759,7662,7573,7503,7454,7295,7271
22037, Louisiana,East Feliciana ,20267,20128,19943,19675,19806,19675,19683
22039, Louisiana,Evangeline ,33984,33851,33754,33814,33758,33789,33709
22041, Louisiana,Franklin ,20767,20771,20605,20522,20460,20403,20330
22043, Louisiana,Grant ,22309,22379,22404,22346,22400,22346,22365
22045, Louisiana,Iberia ,73240,73542,73890,73988,73889,73953,73273
22047, Louisiana,Iberville ,33387,33343,33319,33332,33090,33136,32920
22049, Louisiana,Jackson ,16274,16344,16237,16114,15968,15866,15808
22051, Louisiana,Jefferson ,432552,433983,434312,434770,434858,435555,436523
22053, Louisiana,Jefferson Davis ,31594,31578,31441,31283,31424,31434,31413
22055, Louisiana,Lafayette ,221578,224297,227083,231247,235656,239429,241398
22057, Louisiana,Lafourche,96318,96988,97074,97148,97750,98162,98305
22059, Louisiana,LaSalle ,14890,14948,14877,14826,14874,15004,15052
22061, Louisiana,Lincoln ,46735,47062,47123,47404,47409,47719,47745
22063, Louisiana,Livingston ,128026,130221,131940,134175,135695,137675,140138
22065, Louisiana,Madison ,12093,11972,12206,11899,11805,11575,11528
22067, Louisiana,Morehouse ,27979,27502,27454,27012,26732,26428,26071
22069, Louisiana,Natchitoches ,39566,39538,39491,39225,39275,39137,39162
22071, Louisiana,Orleans ,343829,360840,370138,378886,384355,389738,391495
22073, Louisiana,Ouachita ,153720,154623,155342,156142,156504,157018,156983
22075, Louisiana,Plaquemines ,23042,23629,23893,23597,23397,23568,23464
22077, Louisiana,Pointe Coupee ,22802,22833,22706,22398,22320,22245,22159
22079, Louisiana,Rapides ,131613,132047,132184,132482,132461,132316,132424
22081, Louisiana,Red River ,9091,9050,9032,8886,8688,8629,8550
22083, Louisiana,Richland ,20725,20885,20912,20875,20715,20529,20430
22085, Louisiana,Sabine ,24233,24432,24310,24213,24073,24146,23977
22087, Louisiana,St. Bernard ,35897,39504,41519,43409,44455,45384,45688
22089, Louisiana,St. Charles ,52780,52424,52484,52650,52779,52702,52923
22091, Louisiana,St. Helena ,11203,11013,11036,10843,10612,10569,10512
22093, Louisiana,St. James ,22102,21818,21665,21610,21554,21517,21557
22095, Louisiana,St. John the Baptist ,45924,45056,44760,43615,43797,43639,43631
22097, Louisiana,St. Landry ,83384,83422,83490,83510,83823,83790,83883
22099, Louisiana,St. Martin ,52160,52850,52729,52948,53321,53921,54007
22101, Louisiana,St. Mary ,54650,54149,53554,53531,53234,52854,52093
22103, Louisiana,St. Tammany ,233740,236832,239323,242427,246026,249968,253602
22105, Louisiana,Tangipahoa ,121097,122629,123655,125430,127024,128756,130710
22107, Louisiana,Tensas ,5252,5084,4965,4881,4797,4726,4597
22109, Louisiana,Terrebonne ,111860,111667,111804,112803,113645,114025,113220
22111, Louisiana,Union ,22721,22753,22506,22386,22478,22445,22487
22113, Louisiana,Vermilion ,57999,58221,58637,59282,59537,59961,60205
22115, Louisiana,Vernon ,52334,52308,54179,52889,52161,50706,50569
22117, Louisiana,Washington ,47168,47130,46641,46319,46242,46322,46310
22119, Louisiana,Webster ,41207,41230,40919,40665,40305,40075,39710
22121, Louisiana,West Baton Rouge ,23788,24080,24096,24581,25128,25484,25795
22123, Louisiana,West Carroll ,11604,11515,11497,11456,11501,11282,11114
22125, Louisiana,West Feliciana ,15625,15472,15442,15419,15349,15368,15344
22127, Louisiana,Winn ,15313,15138,15054,14784,14736,14527,14376
23001, Maine,Androscoggin ,107702,107394,107539,107370,107408,107245,107319
23003, Maine,Aroostook ,71870,71362,70774,70048,69490,68752,67959
23005, Maine,Cumberland ,281674,282767,284133,286124,288258,290464,292041
23007, Maine,Franklin ,30768,30705,30629,30478,30203,30039,30001
23009, Maine,Hancock ,54418,54530,54542,54635,54550,54268,54419
23011, Maine,Kennebec ,122151,121787,121636,121185,121167,120209,120569
23013, Maine,Knox ,39736,39688,39639,39639,39785,39779,39744
23015, Maine,Lincoln ,34457,34281,34222,34186,34182,34017,34216
23017, Maine,Oxford ,57833,57772,57490,57343,57291,57156,57217
23019, Maine,Penobscot ,153923,153814,153589,153518,153500,152478,151806
23021, Maine,Piscataquis ,17535,17352,17258,17173,17021,16926,16843
23023, Maine,Sagadahoc ,35293,35103,35109,35031,35086,35173,35273
23025, Maine,Somerset ,52228,51933,51854,51731,51258,51056,50915
23027, Maine,Waldo ,38786,38808,38914,38948,39000,39129,39364
23029, Maine,Washington ,32856,32712,32514,32225,31834,31604,31450
23031, Maine,York ,197131,198223,199053,199442,200686,201158,202343
24001, Maryland,Allegany ,75087,74586,73975,73618,73045,72531,72130
24003, Maryland,Anne Arundel ,537656,545017,550641,555897,559966,563837,568346
24005, Maryland,Baltimore ,805029,813169,818282,823295,826518,829209,831026
24009, Maryland,Calvert ,88737,89291,89685,90477,90601,90620,91251
24011, Maryland,Caroline ,33066,32912,32640,32658,32524,32591,32850
24013, Maryland,Carroll ,167134,167238,167191,167476,167700,167651,167656
24015, Maryland,Cecil ,101108,101635,101776,101917,102180,102397,102603
24017, Maryland,Charles ,146551,149282,150770,152821,154567,155923,157705
24019, Maryland,Dorchester ,32618,32694,32476,32595,32537,32391,32258
24021, Maryland,Frederick ,233385,237322,239610,241180,243569,245377,247591
24023, Maryland,Garrett ,30097,30101,29904,29952,29658,29446,29425
24025, Maryland,Harford ,244826,246704,248661,249210,249839,250138,251032
